OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,高程,坡度,坡向,坡高,斜坡形,地形表,地形粗,地形位,地形汇,相对坡,平面曲,剖面曲,地形曲,水系距,流域面,流路长,地形湿,河谷深,流域坡,河流强,距河网,地层岩,斜坡结,NDVI,NDWI,降雨,地震,土地利,地形凸,class,Id,gridcode,Shape_Length,Shape_Area,Land_use
1,14,0,2,155.022471910000007,10.693058593900000,258.705700293000007,14.140394623400001,3.370786516850000,0.628138645311000,3.970492784900000,0.073295134841700,-2.008457907970000,0.399696022699000,-0.117115453200000,0.013497314425000,-0.130612765387000,109.692997693999999,8092.653261329999623,392.677210646999981,12.096674463699999,25.674298259600000,0.203770678532000,-9068.547794129999602,126.129793660000004,1,3,0.257606011101000,0.371410172866000,1136.755126949999976,1.973890900610000,1,0.382721000000000,1.000000000000000,154188,2,1778.357771290420033,70994.575715274171671,2
2,5,1,5,151.095238095000013,11.027202492700001,282.686909266999976,8.561969723020001,4.285714285710000,0.662008702755000,4.181751909710000,-0.572715592526000,3.035908989960000,0.803766735962000,0.218372346035000,0.045388166393600,0.172984155871000,89.679583376099998,11422.513607900000352,739.473960240999986,12.687112558500001,77.896383557999997,0.201823879033000,6162.323431109999547,164.692551385999991,1,3,-0.179688188434000,0.514096497744000,1136.902709960000038,1.963562250140000,1,0.424831000000000,1.000000000000000,154082,2,613.129528085002448,18480.142133962966909,2
3,40,2,13,222.505175982999987,21.634636948800001,142.377900723000010,50.271045803299998,4.440170940170000,0.472987209603000,8.439256553080000,1.031794771580000,1.379872577560000,0.453866696285000,0.047272905533800,-0.002616731190140,0.049889636767800,172.452067056000004,6805.408594360000279,537.152813853999987,11.780362676099999,43.298269224499997,0.353137414247000,5377.925744959999975,147.273967860999988,1,2,0.604096550061000,0.210448093053000,1137.246093750000000,1.997440934180000,5,0.450358000000000,1.000000000000000,153448,4,3194.763190825899073,399480.985069024725817,4
4,16,3,14,231.694029851000010,13.824945182100000,286.192207397000004,58.803428162400003,4.090225563910000,0.536022480522000,5.335293415320000,0.286143538347000,0.452881755780000,0.573269114663000,0.045026652563600,0.017013546635400,0.028013111773300,312.680073525000012,12198.977007499999672,603.340019282999947,12.447099409900000,50.769952133499999,0.241767835789000,8246.471274300000005,122.087994019999996,1,3,0.376590290107000,0.167391901966000,1137.321533199999976,1.989145755770000,4,0.488855000000000,1.000000000000000,153868,2,2590.333332006719502,113289.654628465446876,2
5,1,4,15,144.378378378000008,7.348470678200000,114.669440334000001,8.073132031669999,3.108108108110000,0.737147229749000,2.858849781590000,-0.516435355754000,-3.276954418900000,0.562931269206000,-0.017714119868700,0.109920138921000,-0.127634258689000,58.299902865800000,7207.373917859999892,219.877871539000012,10.666627651900001,34.679440343700001,0.119553426633000,-8332.038399360000767,190.086892618000007,1,4,-0.366777277552000,0.694114430808000,1137.365966800000024,1.958498001100000,1,0.430642000000000,1.000000000000000,155908,1,832.917777450816061,28368.510427806737425,1
6,26,5,18,211.692307692000014,20.171340278999999,171.661457901999995,44.812998263200001,4.087412587410000,0.532799317078000,7.918092258120000,0.658760155173000,0.532171465274000,0.458651402837000,0.010889461138200,-0.067860673333100,0.078750136432100,157.378718595999999,5934.306344630000240,345.331168848000004,11.955117577399999,35.460627759300003,0.300108636606000,-2251.369421710000097,84.621480448300005,1,6,0.681954645015000,0.265888099325000,1138.546264650000012,2.052333116530000,5,0.459867000000000,1.000000000000000,153146,4,2164.239964733823399,236408.748822322988417,4
7,7,6,20,240.254385965000012,22.694628621400000,126.894522851000005,68.392908113000004,4.561403508770000,0.486883605520000,9.007095625530001,2.510668573540000,2.383130251270000,0.390734087431000,0.100131802735000,-0.123988910006000,0.224120712855000,117.064507352999996,4852.771019650000198,253.453178272000002,11.806363599299999,36.350558920899999,0.351784111736000,6873.002018039999712,84.354784513799999,1,6,0.726887712208000,0.266417929637000,1138.645996089999926,1.997193932530000,5,0.485583000000000,1.000000000000000,152650,4,1498.845082548131359,95906.877653963922057,4
8,42,7,31,241.008802817000003,15.874657749900001,288.203539205000027,66.235942795200003,4.026408450700000,0.556382450839000,6.057428381390000,0.638941758922000,1.884406822990000,0.521390362958000,0.035906405646800,0.002649591007990,0.033683183327500,364.454464518999998,9127.161678579999716,715.240238310999985,12.006662176900001,52.277400482700003,0.277159076171000,6110.479487710000285,135.284928658000013,1,3,0.566123210368000,0.342309059879000,1138.620727539999962,1.948084235190000,3,0.466272000000000,1.000000000000000,151563,2,3414.369563665119585,466267.522915659064893,2
9,48,8,81,264.612625537999975,17.022580777999998,141.152912272999998,64.470982722599999,4.378766140600000,0.574485510117000,6.586922861410000,1.399782857230000,1.342551872860000,0.487532166049000,0.004699459787150,-0.105792007252000,0.110491466210000,208.138087433000010,6516.654497759999686,455.775832276000017,11.811404661099999,30.655412662300002,0.222172444628000,6603.359248900000239,120.618468100000001,1,6,0.698984200977000,0.278895295924000,1141.877075200000036,1.956901669500000,5,0.496581000000000,1.000000000000000,147763,4,4160.232781423672350,574842.361431422061287,4
10,19,9,83,168.443786982000006,11.851854321499999,286.070841218999988,19.312990295799999,4.059171597630000,0.694118306482000,4.466647729370000,0.059171610109600,1.337564643120000,0.443461168208000,0.046139529603100,0.022494946336400,0.023644581569400,169.363943487999990,4997.459410540000135,295.272703566000018,11.648916103399999,20.624515533400000,0.204592207149000,-3036.168014639999910,94.884823770899999,1,3,0.189835345339000,0.324135529446000,1141.050537110000050,1.882950544360000,1,0.456480000000000,1.000000000000000,147599,5,1601.496411757104170,141113.420982984243892,5
